recipient,reasons,bucket_census,tx_count
0x13684bd2b18b06fb8930b4d7b708bfe764a15877,control,GHOST,1
0x1375899da0b1cfeaffab7b49ff185fe98902df01,control,GHOST,1
0x13a79919f9878ebd3d172304573255556dcb7fcf,top_volume,TEST_RIG,124
0x13a9e3ee4a25c3c72d67f42044438aabc54f2b96,top_volume,DORMANT,411
0x13bfc43fbcd63c4644bbb672a8d13a3b550eb9a7,top_volume|active_legit_candidate,ACTIVE_LEGITIMATE,56161
0x13c155ec47fb0a8e3e745b830c97692859fbc5e0,active_legit_candidate,ACTIVE_LEGITIMATE,37213
0x13c4b0d91f60ace3c31736de1618a5a22d6d2466,active_legit_candidate,ACTIVE_LEGITIMATE,252
0x13d576e33f3f071a77380e4f682391e404a94662,top_volume,TEST_RIG,1351
0x13db4caf175f23f1429c2df6b333350c24705192,top_volume,TEST_RIG,3241
0x13e060adcc6f4b731da8382b333027b8b2bff707,active_legit_candidate|control,ACTIVE_LEGITIMATE,251
0x14075b1378e377ae624fcba1d3af7030315c7851,control,GHOST,1
0x140f59f9f007e3ccf300f413490c84e989baa285,active_legit_candidate,ACTIVE_LEGITIMATE,26
0x141c1c8df39837f7b838f07345c9714f7ce41e56,top_volume,TEST_RIG,137
0x1452af43065628a82464bafb8ceba13481db1fce,top_volume,DORMANT,69
0x145e95367d1524505bf44e9589a34b1ea62983c5,top_volume,DORMANT,34996
0x14849afa040edeee524a40c52b877fe1b6e6c2c5,active_legit_candidate,ACTIVE_LEGITIMATE,113
0x14a91ec86ec31c951dcf7f8d3af366a1e3496463,control,GHOST,2
0x14ba1c95af3d79d4d2b1fd43d53dd1b1923db8ec,control,GHOST,1
0x14c17463537e0d9c847005c49001b37bb87510eb,top_volume,LOW_ACTIVITY,5
0x14ca2791f2a6c0725de56103966a0bbb593e8ca7,top_volume,TEST_RIG,13642
0x14ea414c061b3bde04419eeeb73a24418ff2d1c4,control,GHOST,1
0x15061e5cd0bc3c4ea2b2e453a81dd1b41965eac1,top_volume,DORMANT,2931
0x150947b4105275c794b90051cc16f51960ad0852,control,TEST_RIG,12
0x15179876c595922999c2d5dc7c23cc7711fe799a,active_legit_candidate,ACTIVE_LEGITIMATE,553
0x1538726707212f4db3eb67cec0910422a310475c,active_legit_candidate,ACTIVE_LEGITIMATE,749
0x154b1006435e5cfe2206e7777c1003f9438119b1,active_legit_candidate,ACTIVE_LEGITIMATE,7700
0x15648bc25be96fbef9479424a7db3592cdec5b2c,control,GHOST,1
0x1568d5414a1c93e2f76b73d90f68242cd8b36aa9,top_volume,DORMANT,6580
0x158d20e7c3bca1d20ac37e7e2399f7f4aeafadf4,top_volume,DORMANT,12720
0x158e90dd58fbe897ed8c244f472febee37283d00,top_volume|active_legit_candidate,ACTIVE_LEGITIMATE,82856
0x158ffffd5a1f3b9aff346799285bd27a975fc1cb,active_legit_candidate,ACTIVE_LEGITIMATE,24
0x159be9e316bc5fac8ce05aec4eaae46e8f8a4908,active_legit_candidate,ACTIVE_LEGITIMATE,46
0x15b64d8a75ef50618f5ff514a71a534e4eeee796,top_volume|control,TEST_RIG,655
0x15f9aa89b44fc1344bd35a6fa00c2c33d594e894,control,GHOST,3
0x1610311958988e0f8ef1119cde66c97e1e613ed9,control,GHOST,2
0x161dbdd73d025e9aedd4918a67c28e5bf9a87fb9,active_legit_candidate,ACTIVE_LEGITIMATE,825
0x164329ab7baa05b366e75b75b830e65330d3312c,active_legit_candidate,ACTIVE_LEGITIMATE,1120
0x1664530dc2a1ca350b1dbad1fc1f1a70c90fe4de,active_legit_candidate,ACTIVE_LEGITIMATE,730
0x166c733710dd3fbdc56b09a955b2f4c74f84bf37,control,TEST_RIG,5
0x1677383a7bec2cf618fc98aef68b757bcfc37f27,active_legit_candidate,ACTIVE_LEGITIMATE,793
0x169bf49c6ee5a179190121ab8d180b50e31683d1,active_legit_candidate,ACTIVE_LEGITIMATE,190
0x16a6216b77257a0e2a39a5a26b0dd7bf09105b32,control,GHOST,1
0x16b5fe729f2ca544b309844f75e8429ab45151ae,active_legit_candidate,ACTIVE_LEGITIMATE,101
0x16f452f90aced51f6ebd0b790eca12d196e42085,active_legit_candidate,ACTIVE_LEGITIMATE,41
0x1700ab33c5aa161897593e3a1dbf2cf1e1dbda50,active_legit_candidate,ACTIVE_LEGITIMATE,356
0x173b668cb8d84352d3f67b39f8b4e9a9cd5ab833,control,GHOST,4
0x1752fc6d0244099ec75caf1276e22208542dde70,control,GHOST,2
0x177eeabf2e5dc7b832138acdfd0f90f2a98637c7,top_volume,GHOST,1
0x179a862703a4adfb29896552df9e307980d19285,control,GHOST,1
0x17a138db33c31c4cf001d2e135d02e5c1c534f27,control,GHOST,1
0x17cf15d61026b4cdd26cff6042f8e7d2e0ca5e8d,active_legit_candidate,ACTIVE_LEGITIMATE,120
0x17e7e9b6839914a29a17a88170d7054c6e44848f,control,GHOST,2
0x182a09f73aeac9ee2f28742ec73d72afc811e24f,control,TEST_RIG,5
0x184105dd4cf0dd72402e68bf12c144ab3cc1799d,top_volume,DORMANT,5855
0x1885a439e7b1db07664fac6bcc24840bd7d527a8,active_legit_candidate,ACTIVE_LEGITIMATE,124
0x1888192fac6a69e4cd7d078ec4bcf6f24f7c767b,active_legit_candidate,ACTIVE_LEGITIMATE,91
0x1892f72fdb3a966b2ad8595aa5f7741ef72d6085,top_volume|active_legit_candidate,ACTIVE_LEGITIMATE,144112
0x19090254e3f12024312589c1505befc854dd0ba3,top_volume,LOW_ACTIVITY,6466
0x191751c5fbd3784db6a7c0cb134967c4d049c685,top_volume,DORMANT,5431
0x191aee992898a3ab526ad2707fdc2cc2b46da820,top_volume|active_legit_candidate,ACTIVE_LEGITIMATE,1714
0x191eaf1d2134aacc2d7209ef5df077e4f134af34,top_volume|active_legit_candidate,ACTIVE_LEGITIMATE,404
0x1959d220bc95ad94722eb34bee99839228ccc648,control,GHOST,1
0x19a78b27a28ed93c3c914878bde7f2f843afaea8,active_legit_candidate,ACTIVE_LEGITIMATE,400
0x19b1614ee8272178d09cddc892faa2c8ccb91268,active_legit_candidate,ACTIVE_LEGITIMATE,41
